,Unnamed: 0_x,date,journey,start_quadkey,end_quadkey,n_crisis,Unnamed: 0_y,quadkey,GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
26,26,2020-03-19,031133023111_031133023121,031133023111,031133023121,12.661191830447626,118,031133023111,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
27,27,2020-03-19,031133023111_031133030203,031133023111,031133030203,3.82780218129812,118,031133023111,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
28,28,2020-03-19,031133023120_031133023121,031133023120,031133023121,2.1278241344273607,120,031133023120,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
29,29,2020-03-19,031133023121_031133023110,031133023121,031133023110,2.320370325285689,121,031133023121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
30,30,2020-03-19,031133023121_031133023111,031133023121,031133023111,8.58537020355705,121,031133023121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
31,31,2020-03-19,031133023121_031133023120,031133023121,031133023120,4.1766665855142415,121,031133023121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
32,32,2020-03-19,031133023121_031133023123,031133023121,031133023123,6.7290739433284985,121,031133023121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
33,33,2020-03-19,031133023121_031133023301,031133023121,031133023301,2.320370325285689,121,031133023121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
34,34,2020-03-19,031133023121_031133032202,031133023121,031133032202,3.0164814228713968,121,031133023121,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
35,35,2020-03-19,031133023123_031133023121,031133023123,031133023121,3.9820887280796575,123,031133023123,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
36,36,2020-03-19,031133023123_031133023301,031133023123,031133023301,2.5340564633234184,123,031133023123,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
37,37,2020-03-19,031133023301_031133023121,031133023301,031133023121,4.373971015528271,131,031133023301,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
38,38,2020-03-19,031133023301_031133023123,031133023301,031133023123,2.5514830923914915,131,031133023301,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
39,39,2020-03-19,031133023313_031133032202,031133023313,031133032202,18.9942994102756,135,031133023313,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
40,40,2020-03-19,031133030203_031133023111,031133030203,031133023111,2.370943036007636,146,031133030203,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
41,41,2020-03-19,031133032023_031133032202,031133032023,031133032202,3.389019268774703,155,031133032023,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
42,42,2020-03-19,031133032112_031133032130,031133032112,031133032130,5.2196271314738345,255,031133032112,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
43,43,2020-03-19,031133032113_031133032130,031133032113,031133032130,8.32540106500608,256,031133032113,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
44,44,2020-03-19,031133032113_031133033012,031133032113,031133033012,6.776489238958438,256,031133032113,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
45,45,2020-03-19,031133032120_031133032130,031133032120,031133032130,2.7314632147626585,159,031133032120,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
46,46,2020-03-19,031133032130_031133032112,031133032130,031133032112,7.6998256223478245,257,031133032130,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
